"anonym_id","general_feeling","general_feeling_cause"
546,3,"internal motivation for research"
547,2,"investigating, doing sth significant, discovering new concepts, advancing in the career"
548,NA,""
549,1,"Time management flexibility"
550,NA,""
551,-2,"a lot of the work is not accounted for and it is without gratification,  grant writing and reviewing is a lot of work with no return."
552,NA,""
553,NA,""
554,NA,""
555,NA,""
556,NA,""
557,NA,""
558,NA,""
559,NA,""
560,NA,""
561,1,"I enjoy the work generally but hate recruiting and the pressure of constantly trying to get people to agree. This part is exhausting. Overall too, scheduling in challenging at times. "
562,NA,""
563,NA,""
564,1,"In our country, we face somewhat unsatisfactory research conditions. We make great efforts to publish in prestigious international journals; however, in terms of practical steps, although we strive extensively to explore novel research directions, we suffer from significant funding challenges."
565,NA,""
566,NA,""
567,NA,""
568,NA,""
569,NA,""
570,NA,""
571,2,"I enjoy the process. "
572,NA,""
573,NA,""
574,NA,""
575,NA,""
576,3,"My experience as a researcher has been very positive overall, especially since I can now clearly see the results of my work. Being able to maintain a balance between my research activities, my commitment to my students, and my family life feels like a real achievement to me.  Involving my residents in my research projects, supporting them, and helping to train future researchers is an essential part of my professional journey and a major source of both personal and academic satisfaction."
577,NA,""
578,NA,""
579,NA,""
580,NA,""
581,NA,""
582,3,"Our research had high recognition by oyr peers Citations over 55000 h factor 130"
583,NA,""
584,NA,""
585,NA,""
586,NA,""
587,NA,""
588,NA,""
589,NA,""
590,NA,""
591,NA,""
592,NA,""
593,2,""
594,NA,""
595,NA,""
596,NA,""
597,NA,""
598,1,"The work is really time-consuming, I love it but I would like to have more free time."
599,-1,"Constant rejection, intense competitiveness, disillusionment about the usefulness of science and the good I am/am not doing"
600,NA,""
601,NA,""
602,NA,""
603,NA,""
604,NA,""
605,NA,""
606,NA,""
607,NA,""
608,NA,""
609,2,"Fulfillment"
610,3,"Working on something that is meaningful contribution to public health and society"
611,1,"Insecurity"
612,2,""
613,3,"work-life balance"
614,-1,"Pressure to do more "
615,2,"I love learning new things and having new insights. I don't like how much of my time it often takes up, especially away from my family and other enjoyable activities."
616,2,"I find joy in discovering new things, but it can be challenging and we face lots of roadblocks to completing our projects"
617,2,"I feel as though my work makes a meaningful contribution to society"
618,2,"progression to translating research into clinical practice"
619,-1,"lot of burocracy and time lost to activities not strictly related to research"
620,3,"Discovery"
621,3,"My performance in a relatively short academic career."
622,1,""
623,-1,""
624,2,"I am keenly interested in my subject, and I enjoy the international interaction"
625,1,""
626,-1,"Always struggling for funds and sometimes feel a like beggar infront of stupid wealthy officials either from an industry or from any organisation "
627,0,"Research is often to meet academic and work-related metrics, not to imporve quality of life."
628,2,"I love science and the excitement of discovery!"
629,1,"comfort of conducting research, inner peace"
630,2,"Curiosity, learning and making a difference. Ability to develop leadership and management skills and bring other people on board with your vision. Massively better work-life balance than clinical work. Uncertainty towards the future and career progression/pivot towards full-time research or not."
631,0,"Nothing rewarding as such"
632,-1,"No permanent university position "
633,2,"I get to pick what I study and research"
634,1,"The job fits me well, because I am actively looking for new information and new discoveries, but the intensity is not as high because the perception of the society towards researchers is below the appreciation that I believe should exist. It would feel much better to be more appreciated by the rest of society."
635,3,"Being an Achiever"
636,2,"Autonomy on what I spend my time on"
637,1,"I have an extremely supportive team of supervisors."
638,-2,"Boredom"
639,-1,"Too many competing demands on time"
640,-1,"I am a postdoc on the job market (looking for TT positions). The precariousness and the inability to plan on the long term major aspects of life are a major source of worry and anxiety."
641,2,"I like the work, I don't love the system"
642,3,"mental and emotional satisfaction"
643,1,"Limited experience."
644,2,"The work that I do can be directly translated into clinical practice. "
645,0,"for being underpaid"
646,-3,"I do not have sufficient time to work on research during regular working hours. Therefore, I am compelled to conduct my research activities outside of work hours, which significantly reduces the time I can devote to my family. In addition, due to the lack of external funding for publication, I am limited to submitting manuscripts only to journals that do not require article processing charges (APCs)."
647,2,""
648,2,"Have been able to contribute to the knowledge base that helps provide new diagnostics and therapeutics"
649,1,"I love coming up with ideas, collecting secondary data to act on those ideas, synthesizing the data, and creating a work product. I hate writing grants. Absolutely cannot stand NIH and the endless grind of a horribly inefficient system."
650,2,"Freedom"
651,0,"I might be not in the right place. Too many limitations and competition in the academic world"
652,2,"As I select my research project carefully to be interesting "
653,2,"I do what I like (research) most of the time"
654,3,"Knowing that what we will accomplish will help mankind and also enhance careers of those involved  "
655,3,"It is like solving a mystery. This is so exiting. The process of data analysis is exciting too. Further, to see the project grow and mature, and to see the scientific paper taking shape, is intense and satisfying. The feeling of pride and pleasure when you see your manuscript published is likewise very satisfying. "
656,-2,"This situation has been compounded by the lack of an adequate academic position and sufficient financial resources for personal purposes."
657,2,""
658,-1,"Divided in too many directions, lack of administration support, lack of funding and truly feel that the work is so important that I can’t walk away. "
659,3,"Natural curiosity and deep love of discovery."
660,2,"I have an amazing team of co-researchers and support staff. I also am super committed to bettering the life of my target population (LGBTQ+ youth and adults). "
661,1,"My work is meaningful."
662,3,"intellectual engagement and training"
663,3,"I've loved science since I was a child and I have a job I love. I'm also proud to have had a successful career as a researcher (I'm nearing retirement)."
664,-3,""
665,2,"I like being researcher and hope to always add knowledge to myself and others but I afraid not always the facilities are there to continue  so I didn’t choose 3"
666,1,"Achievement"
667,-1,"My job is very poorly paid, extractive and no longer rewarding"
668,3,"It fulfils a need for self-improvement, self-governance, acquiring new knowledge. I also love my line of research, and love a good puzzle"
669,1,"Research is not taken as a real job, more like a hobby"
670,3,"My life is great, my research comes second."
671,0,"There are some real highs and real lows which kind of balance out which is why I have not changed career. "
672,2,""
673,2,"I enjoy developing and testing new ideas"
674,3,"I feel like I don't have a job, I have a hobby"
675,1,"I enjoy doing research "
676,2,"Even though frustrating, there is a great feeling after successfully completing a project"
677,2,""
678,2,""
679,-1,"existential uncertainty/instability"
680,3,"I have helped many students who have progressed in their careers."
681,1,"In general, my job is interesting, being researcher is more interesting than many other jobs and it is done in good environment. Feelings would be more positive if general conditions in science in my country are better."
682,-2,"Stress and uncertainty regarding funding and the ability to support salaries of those in the lab."
683,2,"I could not imagine myself doing a different job  "
684,1,"I love doing research, but the fact that the quality of my work is only nearly irrelevant to my success significantly reduces this positive feeling. "
685,3,"I enjoy being able to solve complex problems"
686,0,"While I love the research aspect of it, the corruption of the scientific publishing industry is frustrating and disgusting, while it is increasingly sad and stressful to see good researchers and projects go unfunded due to the intense competition and scarcity of research funds available."
687,2,"I enjoy the process of doing research but I find that the systems in place to support and reward research are sometimes frustrating. Luckily, in my current role, I have the autonomy to choose which research projects I engage in and when."
688,0,"It is hard and sometimes not worth it."
689,-2,"Stress, pressure, being asked to do too much"
690,1,""
691,0,"The acceptance of research brings me positive attitude but the tough process does exist."
692,1,"Appreciation "
693,1,"It is wonderful and exiting to find something new what could be helpful in the guture"
694,1,"Transcendence "
695,2,"challenging work"
696,2,"I like being a researcher. It teaches me critical thinking and being patience at the same time"
697,3,"Excellent "
698,1,"I love being a scientist and performing scientific research. But, I am growing very weary from writing many grants that are not funded, which is affecting my passion for this career."
699,2,"I should keep it positive. However, the payment is not comparable or competitive with other jobs in the market. Sometimes I feel the scientists are not appreciated enough. "
700,3,"I was fortunate to be very successful with projects that I and others consider to be important. "
701,0,"Life as a researcher can be demoralizing. You work very hard sometimes and experiments still fail or you do not get expected results. However, when things do work and you make and exciting discovery, the feelings of accomplishment and pride offset the demoralization. So I rate it as neutral."
702,3,"accomplishments and accolades"
703,-3,"Hard work without good salary or even appreciation "
704,1,"Enjoy the work, disappointed at the relatively low value placed on the process (all value is only assigned to results regardless of the difficulty of the methodology)"
705,2,"I enjoy doing it"
706,-1,"I don't feel like I have time to dedicate to good research, but I also work at a primarily teaching institution, so research is valued, but not necessarily well-supported"
707,3,"I love my research but feel hampered and depressed by my institutional context."
708,2,"I can do what I love, and I have the opportunity for self-development"
709,3," I love research. Because my work contributes to meaningful psychological interventions and helps populations affected by trauma, I feel a strong sense of purpose and internal motivation."
710,1,"Used to be much higher - university appetite for funding is greater than ever even though it is clear that funding opportunities are declining."
711,-2,"Pressure. Publication and grant race"
712,0,"-"
713,3,"I enjoy doing research in academia. I am excited every morning to think about ongoing research, plan next experiments, and how to resolve problems that I am facing during the course of research."
714,1,"I enjoy thinking about and developing ideas and collaborating with others in the process."
715,1,"There is no a big support for research and development in my country. "
716,-1,"I do not have enough time in my role for research."
717,1,"I previously worked as a nurse and find my current job less rewarding and satisfying. Nevertheless, I earn good money (albeit relatively little in relation to my long training and study period) and I can go home at the end of the day with less stress. Unfortunately, my working hours are relatively unlimited; I hope that this will improve after I obtain my PhD."
718,-1,"No adequaate support - lack of funding"
719,1,"It is great to do what you are passionate about, but there are lot of teaching (which is not bad) and bureacratic workloads that are quite annoying. Also there is a huge competition among colleagues and lots of job insecurity and future uncertainty that are not easy to manage. Also, at least in my region, there are not so many places where you can do research, so it complicate the life-work balance, especially if you have a partner outside academia or children"
720,2,"Love for new discoveries, possibility to do good to other people, intellectual stimuli and networking"
721,1,"Very little of my time is allotted for research, so fitting it in during the week requires enormous amounts of effort to balance it with other responsibilities."
722,2,"This feeling stems from how much I genuinely enjoy my work as a researcher. Although the core principles of research remain constant, the work is never truly the same. Over the years, I have progressively learned to conduct research more rigorously from a methodological perspective, and I find great satisfaction in applying and continuously refining this rigor. At the same time, I work on different topics, encounter new research questions, and engage with evolving study designs and statistical analyses, which keeps my work intellectually stimulating and deeply rewarding."
723,3,"I love what I do and my job gives me a lot of satisfaction and energy"
724,2,"the potential to help understand our conditions and possibly help"
725,1,"I would enjoy it more if there was more understanding and support of my research from those higher up in my organization"
726,2,"Practice changing research"
727,3,"I enjoy research and I think I'm pretty good at it."
728,2,"Pride and compassion"
729,2,"I feel successful as an early career, assistant professor at an R1 institution. I tend to keep my focus on the things I can control and work around funding constraints. "
730,-1,"Excessive institutional expectations and a lack of qualified personnel to execute projects at the expected level."
731,1,"Proud of being a researcher working for a public institution, but it's a lot of work."
732,1,"I love my work but am frustrated by funding conditions. "
733,3,"Freedom to chase after scientific unknowns"
734,2,"Curiosity and interest to engage in informed discussions, the opportunity to learn - particularly in conversation/discussions with others."
735,2,"Achievement "
736,2,""
737,3,"Excitement of the unexpected, thrill of the chase"
738,1,"A good career for the most part"
739,2,"Doing something meaningful and achievement. Respect from others"
740,2,"There is nothing quite like making a discovery and knowing that, until you tell the story, you are the only person on the planet who knows it."
741,2,"Freedom of time"
742,2,"Feeling of adding value and making a positive contribution to the world that may help people improve the quality of their lives."
743,3,"I have been a relatively unique kind of researcher. A scientist turned policy researcher. We don't have many of them. And I took up topics that the government didn't wish me to, but that served the public interest."
744,1,""
745,0,"Academic pressure as well as familypressure"
746,2,"It is one of the best jobs in the world. I continue to learn something new everyday. "
747,0,"I do all my best "
748,0,"It can be tough to balance working with research outside of my primary work hours and prioritizing time spend with my family"
749,1,"While I am driven by a pursuit of deep knowledge, I often grapple with the fear that my performance may not meet expectations. However, the fact that I remain committed suggests that my passion for discovery slightly outweighs these frustrations"
750,-2,"Low, because it is a very demanding profession, often at the expense of the family."
751,2,"Freedom of investigation, flexibility, diversity of potential topics"
752,-1,"Financial and psychological factors, some gender roles and also institutional and managing factors"
753,2,"I enjoy the work "
754,1,"Me gusta investigar, a veces los resultados son muy reveladores e interesantes"
755,2,"Being a researcher is my dream! I always wanted to be a researcher, it makes me happy. But reviews and the salary downgrade it. "
756,3,"I like the mental exercise it takes"
757,2,"I do like what I do (cancer research), it has a meaning, I enjoy the process, the challenges, mentoring and see young scientists´ growth"
758,0,"Before joining the research group, I worked in the production of biological drugs, which I found more interesting."
759,3,"I love what I do and it suits me perfect. Research is composed in the same way as my brain is organized. As an autist, there are few parts of my life where the way I process information and the way I talk about subjects is the norm. And when my brain function as expected - I am no longer disabled, I am competent and I make a valuable contribution. It brings me peace of mind and comfort."
760,1,"I am able to conduct research on topics I am deeply interested in and I feel support from my colleagues in my department and research group. So, these things make me feel positive. However, I face serious financial and infrastructural challenges in my research and, more generally, insecurity regarding the extension of my short-terms contracts, which all together limit the positivity I feel. "
761,3,"I am very proud and happy to be able to conduct the research I like"
762,2,"Love the agency and freedom to pursue interesting research questions that have societal impact"
763,1,"Intellectual stimulation and good colleagues"
764,-3,"I am doing a PhD and it is just taking too long. My contract has finished, but my PhD is not done yet."
765,3,"passion and interest"
766,1,"interesting things to discover, flexibility, creativity"
767,1,"instability"
768,2,"I believe in evidence based science in clinical medicine"
769,3,"That I have 50 publications and I am about to be a full professor and I feel I have contributed meaningfully to my field and have gotten junior people excited about research and mentored them and that is so much fun!"
770,2,"Good results achieved "
771,2,""
772,1,"I genuinely enjoy the process of research itself, although I sometimes feel anxious about evaluation metrics. Research, at its core, is something I truly care about."
773,-1,"Conditions of work and pressure"
774,0,"The lack of support and respect within the institution"
775,3,"I enjoy doing research "
776,2,"Sense of achievement"
777,1,"I am interested in my job but sometimes I struggle to prioritise tasks as there is high pressure."
778,-2,"The hopelessness of a research career. Unpredictable grant application systems, lack of stable jobs."
779,2,"multiple points of interest, it is not boring"
780,-2,"Management is difficult, and the bureaucracy surrounding research is a constant burden. The political (including funding) environment in the U.S. is now making this job untenable."
781,2,"interesting work whether proven or disproven theories"
782,0,"Successful academic career but due to high work-load, unable to have the dedicated time I would like for research, as well as the natural stress that research brings."
783,3,"discovery and collaboration with others"
784,2,"I love my job"
785,2,"freedom to do my own thing "
786,2,"I enjoy it, have a good sense of agency (that I am good at what I am doing), and mostly find it meaningful"
787,2,"the bureacracy with the study registration "
788,-1,"Lack of support from inside and outside"
789,NA,""
790,2,"Good students and good progress of projects"
791,3,"Great work life balance"
792,1,"too many organisational limitations, in terms of finding funding, gaining support, feeling valued"
793,NA,""
794,3,""
795,1,"it is very enjoyable, learning something new all the time. although there are some negative thoughts because I compare myself to other people a lot."
796,1,"it would be higher but the admin tasks (especially with our research contracts team and financial managers) is just so awful"
797,-1,"Because I have spare my extra time to reserch."
798,3,"that's my real passion "
799,3,"Because there are several dificulties in the process. As I said before I am clinician and I have no protected time to work on it "
800,2,"I really like what I do and we can make novel discoveries."
801,2,"I get to be freely creative, work with and mentor brilliant young trainees, and someone actually pays me for this"
802,0,"I am excited when I have secured funding for a substantial period of time, say 3 years. But very anxious and stressed when my money is running out and I do not have the next grant secured yet."
803,2,"I still love chasing an interesting question"
804,0,"Uncertainty. "
805,-1,"Too many responsibilities and few satisfactions"
806,2,"The chance to make a difference in other people's lives. "
807,0,"Sometimes positive and sometimes negative, I think the sum in general makes it neutral. Positive because of the feeling of being intelligently encouraged, inspired, etc. Negative because the work never stops, it takes a lot of my energy and thoughts (headspace). "
808,2,""
809,1,"It is different than my everyday work as a clinician."
810,2,"No longer involved in leading my own group, so less immediacy, but I gain great satisfaction from supporting the research efforts of others"
811,1,"I frequently find myself facing challenges that require attention and solutions."
812,2,"Contributing to humanity"
813,2,"Pride"
814,3,"because I like it and believe it is important."
815,3,"This field is full of changes and challenges.  It never gets redundant or boring."
816,2,"Successful long career"
817,3,"I have been involved in translational and clinical rtesearch for over 50 years. In the process, I have had successes and failures and have learned at every step. It has given me a life of fulfillment and satisfaction."
818,3,"My ability to design and conduct research is a gift, and the accomplishments are the gifts I give back."
819,NA,""
820,1,"it gives you freedom, nice hours, pays well, but highly uncertain, grant-dependant, and not stable"
821,NA,""
822,2,""
823,2,"I enjoy learning and being able to share my knowledge with others is especially important to me. Research provides me the avenue to do those things"
824,1,"lack of financial sources makes an everydaz  phycological issue"
825,1,"Because I enjoy what I do, but it can be very stressful sometimes."
826,3,"I love research and the values of psychological science "
827,0,""
828,-1,"constant work, many hours, difficult to get funding, uncertainty, wasted hours/work"
829,2,"I feel like I am contributing something meaningful to the world (to patients, doctors and also training my students)"
830,1,"It is a mix of curiosity and enjoyment about the topics and the actual research that pulls the score up and too much administration that pulls the score down"
831,2,"Makes me excited and makes me feel important. "
832,2,"I love research in my interesting topics."
833,-3,"its just no fun"
834,3,"challenge, curiosity "
835,-1,"High work load, a sense of not having enough time"
836,3,"Enjoyment of the science and career stage"
837,2,"Freedom in working time and meaningfulness"
838,2,"alignment with my values such as independence, freedom, learning/growth in every activity. It is not just positive when it need to be repetitive and monotonous"
839,3,"This is very intresting job. I do not think that any other job could be as satisfying as this."
840,3,"can't do anything else"
841,2,"I get to work on many interesting topics which contribute to improving societal outcomes."
842,1,"comes with lots of pressure "
843,2,"freedom and creativity"
844,1,""
845,3,"the impact of my work affect more patients compared to working in direct patient care"
846,2,"autonomy, interest, mastery, meaning"
847,2,""
848,2,"First of all, I love the world of research and discovering new things. secondly, I believe the findings of my research can improve the life of target community somehow."
849,2,""
850,2,"Independence and freedom to explore new areas of research and collaborate with nice people. Experiencing the satisfaction to get a job done and paper published."
851,2,"The research helps to understand issues and somehow they can be resolved."
852,3,"Doing something for mankind"
853,0,"I feel that my ideas are very innovative."
854,-1,"Our work leads us to alternate between joy, fear, sadness and anger as we obtain (or not) funding to carry out our projects, we obtain positive or negative results, we discover flaws in our experimental designs or simply external problems that can negatively affect the outcome of our experiments. We are in constant competition with other scientists which can also have a negative impact on our feelings. However, it is also a very rewarding job when we are able to collect good results, and finis a project."
855,2,""
856,2,""
857,2,"Accomplishment "
858,3,"I have received acknowledgement from my peers and former teachers for legitimate contributions. And, I have had ample resources to conduct my projects. "
859,2,"My work has purpose"
860,2,"I advance every year"
861,1,"It could be worse. I worked a lot of crappy jobs to pay for undergrad and I am glad I did not get stuck. I have tenure, I have funding for now, so I get to study a topic I feel passionate about."
862,-1,"Workload, insecurity of funding, papers getting accepted, etc"
863,2,"progress of humankind"
864,3,"Independentship"
865,1,"the bad organization of my insitute and my Nation"
866,2,"Passion for the work I do. Seeing how it can make a difference. But it's not always appreciated or recognised by other departments who aren't researchers e.g.finance, fundraising, comms, trustees"
867,0,"stressful, endless projects and papers "
868,1,"Doing research goes with ups and downs, and so do your feelings. Working with professors who aren't managers is hard and frustrating"
869,2,"I enjoy the work, meeting patients and families, trying to hear their stories and hoping to change things for the better because of what they have told me."
870,2,"I have fianlized and published a lot of projects and they have an impact"
871,2,"I have enough experience and others ask me for help."
872,2,"it's interesting and stimulating most of the time. Also, it's quite time flexible (I like to start around midday and work until late in the evening, which is usually not a problem)"
873,2,"Getting data out there that is useful to the advancement of my field"
874,1,""
875,-2,"Getting funding is almost impossible now and it's frustrating"
876,0,"It is satisfying once completed, however very demanding, challenging, not recognized"
877,2,"we continue to learn new and important information."
878,2,""
879,2,"Being researcher is hard and being a researcher at a teaching institution even harder. Yet, I find joys in every day moments + pride in the contributions we do."
880,1,"I love being a researcher but there is censorship at my institution that makes me feel negative and apprehensive about it."
881,-2,"Negative Academic environment (Peer support), competitive environment"
882,2,"It’s really amazing to be paid to design experiments based on things I’m curious about"
883,2,""
884,3,"I enjoy doing my work. It is a calling"
885,2,"Rewarding by the results and by the mentees"
886,1,"primarily I am a clinical lab director who supports research"
887,-1,"Scarcity of permanent jobs in academia"
888,1,""
889,3,"I´m free to choose my research´s topic, and I can manage my own time"
890,-1,"I’ve worked 80/100 hour weeks for months without sufficient pay. I’ve been exploited multiple times when doing research."
891,0,""
892,2,""
893,1,"Pressure "
894,0,"unclear career path. "
895,2,"I like it"
896,3,"I enjoy pursuing projects that I created to fill clinical gaps in care."
897,-3,"You dont have any kind of security, as a student (even PhD) you are completely disposable"
898,1,"The possibility to contribute to positive changes to the clinical landscape."
899,0,"Research funding landscape"
900,2,"exciting career, working with brilliant minds and ideas"
901,2,"Flexible, interesting lifestyle"
902,2,"I’m good at it, I have plenty of challenge and engagement, and it rewards me with flexibility and opportunity "
903,1,"I like my job and the flexibility and freedom we have, but the uncertainty of funding makes me feel anxious and hopeless"
904,1,"I am a novice researcher therefore I am still learning"
905,1,"Achievement"
906,1,"I'm a PhD candidate so it's probably a particular ""researcher position"" as well. It comes with stress and challenges but I also have a supervisor I appreciate, who gives me a lot flexibility and lets me manage my work and my time the way I want to, which I strongly appreciate."
907,1,"While I enjoy doing research, I experience struggles with acceptance and disappointment with research quality and translation of research to policy"
908,2,"discovery and providing solutions"
909,1,"Tense, stress"
910,2,"I like the job and the academic lifestyle. Point off max for the intermittent bouts of anxiety due to the precarity of my situation."
911,-1,"The research itself is overwhelmingly positive, but the sense of judgement that follows is very negative."
912,-1,"The pressure to obtain funding to support research."
913,0,""
914,2,"It can be rewarding"
915,2,"Curiosity to know more and to help the world for knowledge"
916,3,"I feel like I am working on a real-life puzzle that constantly challenges my intellect."
917,2,"It's a meaningful work, and interesting and exciting"
918,3,"I feel pride, but also would like to feel more supported by society"
919,1,"things could roll better. depends on the country... in PT it is bad"
920,1,"I don't know but some time is terrible"
921,0,"Funding rates of less than 10 percent. Gender pay gap of 25 percent "
922,2,"Involvement in research fulfils my desire to look for solution to problems and allows me to help others"
923,1,"I'm paid for doing things I enjoy (most of the time)"
924,2,"to spend your time with pleasure"
925,2,"To publish things that are of interest to people working in care."
926,2,"autonomy, variety, work that makes a difference"
927,1,"Creativity, enjoy solving problems "
928,2,"Generating new knowledge"
929,2,"I believe very strongly in exposing the subjects I'm researching and it's satisfying to be able to do that"
930,1,"Most of the time my expectations are frustrated, students do not deliver, need extra supervision, grant money is scarce and distributed in an arbitrary way, submission for journals do not get appropriate reviews, etc. The few moments of intellectual joy are those when new ideas and theoretical development is possible despite all the negative factors. In total it produces this slightly positive state as a result of the aggretation of other much stronger positive and negative emotions."
931,3,"Happy"
932,2,"my job is my passion"
933,2,"I never get bored. Researching is fun for me. Ideas become reality."
934,3,"Positive outcomes in all of research activities "
935,1,"Mixed because I have often enjoyed research and feel I've made important contributions, but often find the process slow and frustrating and taxing"
936,0,"Funding stress "
937,2,"It is the job of my dreams"
938,1,"I still have work to do, but I can't be very satisfied because of certain reasons that prevent me from doing it."
939,1,"Obtaining research funding is agonizing."
940,3,"Making lives better"
941,2,""
942,2,"learning something almost everyday"
943,2,"Feelings of making a difference combined with frustration with country politics, wealth inequity and frustration with ethics review process and casual work   "
944,0,""
945,1,"I love research but there are many drawbacks of this life (relatively low salary, competition, unhealthy relations at the university etc.)"
946,3,"My passion is my job"
947,1,"I take pride in this job, and it also reflects my own value."
948,3,"Providing evidence that should influence practice"
949,1,"Shortage of funding, salary much lower than abroad, poor societal recognition, frustration with the workplace and with administrative duties"
950,0,"Things are difficult. But that has not after EDC Ted my belief in this work. That said the difficulty makes it harder to feel all my enthusiasm , but this is temporary . Hence my neutral answer. "
951,3,"I love doing research "
952,2,"interest in the topic of the research, curiosity to find out something new"
953,3,"I am enjoying the social and academic recognition due to my research "
954,2,""
955,0,"Difficulties with grant funding to be able to do research"
956,2,"I enjoy learning new things and getting to research topics feels like this all the time. "
957,2,"I cannot imagine a more interesting job, but it comes with its drawbacks - fixed-term contracts, uncertain future, never-ending to-do list and deadlines"
958,1,"Too much work to cope with. Otherwise would enjoy more."
959,2,"I feel rather positive about my life as a researcher, mainly due to the strong support from my work group, the good progress I am making with writing the study and moving forward in the journal submission process, and the fact that I have a permanent position. However, this feeling would be even more positive if the position were better paid."
960,-3,"I once believed that with sufficient diligence and intelligence, I would surely become an outstanding scientist. Only now have I come to realize that impactful research relies on a strong team, a supportive platform, and adequate funding. This presents an enormous challenge for young scholars, and it has been a devastating realization for me. I often regret choosing this seemingly unpromising path. "
961,1,"Flexibility"
962,-1,"Too much other university and hospital work, so time for research is very limited"
963,1,"I get to do what love, investigate questions I think are interesting."
964,1,"conducting research is a privilege, to do something that is interesting and might  lead to reducing disease is motivating. it is damped by the need to work with a spervisor and an administration that does not always value the effect put into the work. "
965,-1,"High anxiety "
966,2,"Related to satisfaction about my efforts and desire to make a difference in my area of study"
967,2,"I have gained and share knowledge of value in the scientific arena."
968,1,"intellectual interest"
969,2,""
970,3,"Help people "
971,2,"I enjoy delving deep into a topic, discovering some new truth, and discussing and sharing it with others. I also feel I am contributing to a better world."
972,2,"IN spite of some issues I still prefer being a researcher, I like uncertainty and novelty"
973,2,"the pleasure of finsing things out"
974,3,"I can focus on my interests. "
975,2,"I enjoy learning new things and solving problems. Having a job that allows me to do those things, is wonderful. Then there is the community in research. While there are bad experience, on a whole it too is wonderful. Almost like an extended family. "
976,2,"i love the work i am doing: it is stimulating and challenging in a good way"
977,0,"I don’t feel i have recognition by the academic comunity, and it’s hard to work eventhough i have the qualifications and the experience"
978,2,"I love research, I just hate all the irrelevant paperwork that then goes to die on some administrator's hard drive never to be seen again, silly committees, and endless irrelevant meetings that just waste everyone's time."
979,3,"Always learning something new!"
980,1,"Impact"
981,2,"As a PI, I have a very high level of autonomy to set my own research direction. I am also really lucky that I currently have a fellowship grant, which means I have a good amount of resources to conduct the project."
982,2,"I am satisfied with the work and colleagues"
983,2,"The main cause is intellectual freedom. I get to ask questions that matter to me, explore unknowns, and contribute something new to the world. Even when the process is hard, the opportunity to learn and discover keeps me deeply engaged and satisfied."
984,2,"I derive some sense of meaning from what I do."
985,2,"Being capable of working on interesting research questions with clinical relevance."
986,2,"Contributing to mankind's knowledge while helping patients"
987,1,"My time/focus/energy is pulled in many different directions, and so it is often difficult to make consistent progress on projects. I enjoy it when I am able to have the time to focus on my research, but it is stressful that research often has to be put on hold for other responsibilities. "
988,2,"notable achievements"
989,2,"Working on passions and interests"
990,2,"International renown"
991,3,"I see the utility of this."
992,3,"Flexibility and being in control of what I do"
993,2,"I'm good at it!"
994,3,"I love to think"
995,1,"The possibility of making a significant contribution"
996,1,"Because in my work I don’t do only research but I have to do a lot of other work "
997,2,"High level of autonomy "
998,2,"Can be very rewarding to discover new findings."
999,2,"I've had the opportunity of doing ground breaking work and collaborate with experts throughout the world"
1000,2,"The excitement of starting something new, the joy of training others"
1001,-1,"Research topic is meaningless and no positive feedback now"
1002,3,"做研究是很快乐的事"
1003,2,"satisfaction with the opportunity to help others as a scientist."
1004,2,""
1005,3,"Conducting research is often expensive (we usually cover the costs from our personal budgets). If this were a job, my primary motivation would be earning money. Therefore, spending a significant portion of my earnings on my ""work"" would bother me greatly. Additionally, it requires endless mental and physical effort, and there are no set working hours.   There isn't a single day when I don't work on my scientific research on my computer. Weekends, after work, holidays... I love being a researcher and accept all of this as part of the job. I feel like I'm breathing every second I spend researching and working on it. It's exhausting, both physically and mentally, but the happiness and satisfaction I feel when I upload an article to a journal is a real dopamine boost.  "
1006,2,"I'm happy with the research I have conducted but I think I could do more "
1007,3,""
1008,3,"great interest in subject, joy of better understanding and inventions , great team work, joint successes"
1009,2,"I feel this way because research is a professional activity that I genuinely enjoy as part of my work."
1010,2,"I like challenges and my job"
1011,2,"I am involved in projects that make a difference in clinical practice and follow my interest and curiosity. Very importantly, I get to see others grow. This is a source of immense joy for me. I'd say it is a highly motivating factor  for working in research. For example, when a colleague or a student achieves something (gets a grant, gets published etc.) "
1012,2,""
1013,2,"Doing something meaningful and new that nobody else investigates and finding it intellectually satisfying every day"
1014,2,"I enjoy my job and the flexibility that comes with it. "
1015,2,"Interest in linking research questions with methods."
1016,3,"II enjoy the explores mind and all negative feelings and drawbacks are faded when they have passed. The positive overweight the negative and I can see the drawbacks more than challenges than negative outcomes."
1017,2,""
1018,0,"monotonous routines"
1019,3,"interest and passion for research and make positive impact on science and people. "
1020,3,"self-esteem"
1021,2,"I can orientate my research myself"
1022,2,""
1023,3,""
1024,3,"Nothing beats discovery!"
1025,1,"Falta de tiempo para dedicarme en profundidad"
1026,0,"I have a lot of innovative ideas which excite me can't be executed due to time, organisational and financial constraints - so the positive and negative elements are in opposition. "
1027,3,"I did what I wanted and I did it mostly as I wanted, with reasonable success"
1028,2,"Curiosity for the novel innovation application in my research field"
