"anonym_id","research_stage","research_stage_feeling_cause"
288,"Report writing","Fear - deadline"
289,"Data analysis","My most intense feeling was interest, and this is because the project I am working on is my dissertation. Thus, I am actually invested in the project and its results."
290,"Data analysis",""
291,"Report writing",""
292,"Report writing","Interested to see where the writing process takes me and what the final product will look like."
293,"Preparations (IRB permit, preregistration, experiment preparations)","Interest: I'm really interested in & excited about this project"
294,"Waiting for journal's response and revisions","I have achieved all the goals related to the project and at this stage I can feel only pride and intrest with the results"
295,"Report writing","The intense feelings were the result of conflicting information provided by the project evaluation committee and the project regulations. This created a very tense situation, and there was a real risk that half of the project costs would be deemed ineligible, even though they were compliant with the regulations and originally approved. This is, unfortunately, not a one-off situation in the world of science."
296,"Data collection","difficulty in collecting data"
297,"Report writing",""
298,"Reality check (e.g., literature search, consultation with colleagues)",""
299,"Data collection","Dissapointment in the results obtained through the data collection, because the collected results are not matching any theory easily and I fear they are either wrong or it will be very hard to discuss them in the paper. And this leads mostly to fear of me not doing the study in a timely manner - fear of not meeting the deadlines."
300,"Preparations (IRB permit, preregistration, experiment preparations)","My research is unpaid and I’m a low income graduate student, so it’s tough to allocate so much of my time to something without knowing whether it will provide me enough security in the long term or not. It’s hard to stay motivated sometimes because of how afraid I feel for the future, but I try my best. "
301,"Data analysis","Feeling proud of the project and the meaningfulness in my work"
302,"Preparations (IRB permit, preregistration, experiment preparations)","I rated Fear as 5 because I’m afraid of things going wrong or not turning out how I hope. Since it’s for my thesis project to graduate from a masters program, the stakes feel high and there has been anxiety throughout the preparation process that it won’t go how I hope."
303,"Report writing","Guilt - the time bottleneck - we are drowning in teaching and service and it is so hard to find time to write. I feel guilty towards my co-authors and would love to put more time into each manuscript."
304,"Data collection","Seeing individuals that are minorities expressing the trauma they experienced was hard to hear but it was rewarding to do a study like it. "
305,"Data collection","Slow recruitment of patients"
306,"Data collection","I am interested and passionate in my project but it's been on pause for a year so I'm excited to get started again soon. I have collected half of the data and it was very stressful so I have some negative emotions towards it but it was also rewarding and fun overall. When I continue data collection soon, I will be training a research assistant for a few weeks who will continue data collection on our behalf. I am relieved that I will have an RA who will do most of the work because it was stressful for me, but I also feel a bit sad I won't be able to spend much time in the field because I do enjoy it. However, I chose to not spend much time in the field because I want to spend more time with my family for personal reasons, so overall I am happy with my decision."
307,"Project genesis/ first thoughts/ idea creation",""
308,"Preparations (IRB permit, preregistration, experiment preparations)",""
309,"Preparations (IRB permit, preregistration, experiment preparations)","The preparation stage is always exciting as new ideas pop up, colleagues are interested and a lot of possibilities arise"
310,"Data collection","tired"
311,"Project genesis/ first thoughts/ idea creation","Uncertainty of the funding situation"
312,"Data collection","The pride I feel is for the collaboration between the researchers in the group"
313,"Project genesis/ first thoughts/ idea creation",""
314,"Revisions","I felt relief and interest as the response from the reviewers took a long time"
315,"Project genesis/ first thoughts/ idea creation","Curiosity is what tends to drive my desire to research topics, so my interest level is very high."
316,"Reality check (e.g., literature search, consultation with colleagues)",""
317,"Preparations (IRB permit, preregistration, experiment preparations)","high risk high reward project; now moving to the key first steps"
318,"Waiting for journal's response and revisions","Delayed, non-transparent journal processing and reviewing processes"
319,"Preparations (IRB permit, preregistration, experiment preparations)","It’s a great project"
320,"Revisions",""
321,"Preparations (IRB permit, preregistration, experiment preparations)","I felt lucky to work on a subject of interest to me, and that could have an impact on health (for the first 5 feelings proposed), or I felt them through the interactions with students or colleagues who work hard, and have successes (which brought other positive feelings, such as relieve, admiration, contentment or pride) or failures at different levels (which brought feelings like guilt, or regret on decisions I made that may have contributed to these failures, but also compassion)."
322,"Data collection","Delivering a research project that you have been planning and preparing for a long time is a challenging process! It is filled with highs of pride, excitement when you are collecting data that you have spent years thinking about. Joy for working on something that you are passionate about. But it is also filled with fear of not recruiting enough patients, for me as an early career researcher fear that I am asking the right questions to get the best answers. And also filled with worry that this project will not make a difference and it is pointless! "
323,"Project genesis/ first thoughts/ idea creation","the process of coming up with ideas or bringing disparate facts logically together provide me with joy and excitement."
324,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I selected by myself the topic of our study."
325,"Revisions","progress
"
326,"Waiting for journal's response and revisions","-"
327,"Data analysis","Inability too analyze data as efficient ad needed due to an inflexible software and total lacknof structure (which is partly my own fault)"
328,"Project genesis/ first thoughts/ idea creation","Interest to advance this line of research that I feel important.  Amusement because I love designing experiments."
329,"Waiting for journal's response and revisions","it's exciting work"
330,"Preparations (IRB permit, preregistration, experiment preparations)","I believe that this project is valuable and hopefully it will ultimately benefit vulnerable people, so my emotions are mostly positive. "
331,"Preparations (IRB permit, preregistration, experiment preparations)","The main cause of the most intense feeling (interest) is my involvement in the new aspects of the project, which I never did before, new experience, and working in a supportive team of professionals"
332,"Data collection","I am interested to see what the data will show and how we can contribute to the literature in this area. "
333,"Waiting for journal's response and revisions",""
334,"Data analysis","I was very interested in analyzing my results - I had to keep going back and forth to make sense of them with the statistician. "
335,"Revisions","Revisions are generally tedious, but don't provoke much emotion "
336,"Report writing","Relief and pride were the most intense feelings.  Finishing a 3 year study and now being in the manuscript draft phase feels like a huge accomplishment not only because the project is complete but because I feel like our team used our grant dollars well and invested time and resource into important work that is now close to dissemination."
337,"Report writing","High pressure of having to pull 2 years of work into a single report, going back and forth at feeling pride in everything we accomplished but also guilt that we didn't get everything done or that funder may be disappointed.  Feeling proud of my team and their committment to the mission of the project, but then also frustrated that we have to frame it in a way that will be ""sellable"" to our funders and policy makers as opposed to being able to critically honest in in-your-face with our findings.  "
338,"Data collection","Love - the interviews i conduct provide a gateway into humanbeings inner souls and that fills me with love"
339,"Data analysis","frustration. research coordinator's inability to get to a clean, analysis ready dataset"
340,"Data collection","Most intense feeling is 'interest', caused by intrinsic interest in the topic I am studying. "
341,"Project genesis/ first thoughts/ idea creation",""
342,"Report writing","project took way too long, and was too much work compared to the available funding"
343,"Reality check (e.g., literature search, consultation with colleagues)","The project was new and after a long time of being bored this is exciting!"
344,"Data collection","I am very interested in my research and at the same time it resembles a game that amuses me."
345,"Revisions","Science is complicated. Working with human samples and human stem cell models pushes the complexity to a new level of complexity. The complexity, the instability of funding, presure by supervisor to obtain data fast, and the time constraint by the journal make a difficult process even more frustrating, demoralizing, and physically and emotionally exhausting.   "
346,"Reality check (e.g., literature search, consultation with colleagues)","research is a lot of work"
347,"Revisions","The feeling that research is never perfect and always has room for improvement."
348,"Data collection","Both, interest and pride are due to the long time spent in my line of research, to the novelty of the my current project"
349,"Project genesis/ first thoughts/ idea creation",""
350,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","The most intense emotions I face as a scientist are disappointment and sadness, primarily stemming from the constant rejection of my work by journals and funding agencies. It requires tremendous resilience to persevere in this field, especially when you are from a peripheral country with severe underfunding."
351,"Data analysis","Interest in getting the results and hopeful that something interesting will be found. Guilty about lack of productivity or how long things are taking. "
352,"Report writing","Finally putting together the work of months"
353,"Data analysis","Interest - because I am very interested in my research topic "
354,"Data analysis","my feeling of interest is linked to the curiosity to the subject "
355,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Interest. Wondering what will start next, the impact it will have, the reactions of other scientists, the generated knowledge,..."
356,"Report writing","fear that the study is not complete"
357,"Data collection","Excited and happy about an ongoing research project"
358,"Report writing","interest in research"
359,"Waiting for journal's response and revisions","Fear the it will not be accepted for publication"
360,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Research was stonewalled due to supervision not being suitable and academic gatekeeping.  Unable to find a member of relevant profession to work with me"
361,"Report writing","I love what I do."
362,"Data analysis","I enjoy research "
363,"Report writing","Interest"
364,"Data collection","pressure to get participants for sample size"
365,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","So much hard work and mental effort - then post publication, the article was picked by influential people on X and had the effect I wanted - relevant researchers planning a clinical trial are interested in incorporating the findings into a platform trial. "
366,"Waiting for journal's response and revisions","Happy with how the project turned out, annoyed at the journal submission process, length, requirements. "
367,"Report writing","this is both too simplistic and abstract - I have may projects with many different phases, at the same time other challengers at work ( teaching, committees ect) plus a life outside work. I can't compartmentalize my feelings to specific project stages this way and I am not sure I cna give meaningful answers in your check boxes"
368,"Revisions",""
369,"Waiting for journal's response and revisions","Doing something for future benefit of the generations"
370,"Data collection",""
371,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I picked those feelings because after many years, the project was finally done, and all the hard work paid off, and I could start new projects. "
372,"Report writing","I have deep admiration for my mentor."
373,"Revisions","Third revision of a ms required"
374,"Data collection","pride in study and team behind it"
375,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","I was happy and relieved that the conference went well and interested in the problem, intellectual and practical, about how to move forward. "
376,"Waiting for journal's response and revisions","It is disappointing when my submissions get rejected"
377,"Data collection","do not get positive feedback and reward"
378,"Waiting for journal's response and revisions","For Growth"
379,"Reality check (e.g., literature search, consultation with colleagues)","The fact that I found out a very relevant and substantial field of work which will help elevate the population-level health status and also enable me to move up up the ladder in my career, which is a double win."
380,"Data analysis","I do feel some guilt and regret dringend this project as I promised to deliver the results earlier "
381,"Project genesis/ first thoughts/ idea creation","it is a new project i am thinking with a very new mehod and I am super excited to try it on our data and see what the results will show."
382,"Revisions","upset"
383,"Waiting for journal's response and revisions","When the manuscript came with comments for minor revision, I felt positive emotions. When I identified some errors in the manuscript, or the reviewer identified some errors, I felt negative emotions. I also thought about peer opinions and how they would view my manuscript once it is published."
384,"Revisions","Interest, contentment, relief about the revision being almost complete and thereby this sub study is concluded. Pleased about the reviewers and editors comments that helped to elevate the paper. Happy about the end result and that the ability to share it publicly is now close."
385,"Waiting for journal's response and revisions","As for relief, it's contributed by the sense of feeling of finally finish this project.
"
386,"Report writing",""
387,"Project genesis/ first thoughts/ idea creation","The pleasure of seing that therte were still interesting contributions to the subject that raised my interest"
388,"Data analysis","Frustration. you forgot about this"
389,"Report writing","transforming thoughts and results into a written and communicable form is fascinating and joyful"
390,"Project genesis/ first thoughts/ idea creation","enjoying the job, but it comes at a price (dissapointment if things dont work, financing is tough)"
391,"Data collection","Pressure"
392,"Data collection","moving toward the end of our goal, with good results"
393,"Data collection","Wanting to make a patient impact"
394,"Report writing","Interest was probably the most intense feeling, but I was also very high on joy, pleasure, and pride. I gave a conference presentation related to this project, which re-energized me and got me excited about completing the manuscript writing again."
395,"Report writing","This work has an actual impact on people"
396,"Waiting for journal's response and revisions","Fear of rejection of my manuscript "
397,"Reality check (e.g., literature search, consultation with colleagues)","bilimsel bir çalışma yapmaktan ve insanlığa faydalı olmaktan aldığım haz
"
398,"Project genesis/ first thoughts/ idea creation","Becouse it is a creative, almost ""art"" like, endeavour."
399,"Reality check (e.g., literature search, consultation with colleagues)",""
400,"Waiting for journal's response and revisions","Sense of pride to finish a long project and finally submit it. "
401,"Data analysis","Interest because I am in the middle of data analysis and as the main researcher I really am interested on the outcomes of a multiyear project"
402,"Preparations (IRB permit, preregistration, experiment preparations)","Passionate interest in the study, but concern about  getting adequate funding for it."
403,"Reality check (e.g., literature search, consultation with colleagues)","For all of them, it's my incompetence, the feeling that the research isn't viable and won't lead to publishable results, and knowing that I'm not capable of doing publishable research."
404,"Data analysis","Overwhelming number of tasks and short deadlines"
405,"Project genesis/ first thoughts/ idea creation","Depression"
406,"Reality check (e.g., literature search, consultation with colleagues)","I am deeply interested in my field of study and research"
407,"Revisions",""
408,"Waiting for journal's response and revisions","I was very proud of presenting the research in a highly professional manner."
409,"Preparations (IRB permit, preregistration, experiment preparations)","Anger: I was frustrated by the time it takes to read and cite articles. As I am just beginning in my field, it takes time to attain the knowledge and know which papers are good to refer back to when I need certain information."
410,"Data analysis",""
411,"Reality check (e.g., literature search, consultation with colleagues)","I was glad and relieved that there were papers on my topic, research has been done and it could be validated. "
412,"Preparations (IRB permit, preregistration, experiment preparations)","Amusement: Big Data"
413,"Preparations (IRB permit, preregistration, experiment preparations)","Uncertainty"
414,"Report writing","I find this work so interesting and important. It has taken so long to get to this point and I'm also a bit ready for it all to be over. "
415,"Preparations (IRB permit, preregistration, experiment preparations)",""
416,"Preparations (IRB permit, preregistration, experiment preparations)",""
417,"Preparations (IRB permit, preregistration, experiment preparations)","Not having enough time to dedicate to the project management and implementation of the tasks as I would like and need, as PI"
418,"Waiting for journal's response and revisions",""
419,"Data analysis","Feeling of pride because in my opinion the analysis is of high importance/impact and i felt proud of being able and doing this kind of work"
420,"Report writing","Pride for achieving stated aims and as such for contributing to advance science of malaria prevention"
421,"Data collection","Science interests me"
422,"Data collection","Interest: I am doing a scoping review and find it engaging to read the titles and abstracts whilst doing the title and abstract screening, and to encounter a wide diversity of literature through the screening process. "
423,"Project genesis/ first thoughts/ idea creation","Planning a grant application. Feeling guilty about not getting around to writing yet and fear about the eventual outcome after receiving so many apparently random decisions in the past."
424,"Reality check (e.g., literature search, consultation with colleagues)",""
425,"Data collection","Data collection is boring in general."
426,"Data analysis","Disappointment:  One of the outcomes didn't track as expected with another outcome."
427,"",""
428,"Reality check (e.g., literature search, consultation with colleagues)",""
429,"Preparations (IRB permit, preregistration, experiment preparations)",""
430,"Data collection",""
431,"",""
432,"Project genesis/ first thoughts/ idea creation",""
433,"",""
434,"Report writing","I hate writing. "
435,"Data analysis","I hit severe burnout about 5-6 weeks ago. Was just recovering when a hectic week drained me again. Most of the negative feelings I expressed, including minimal joy and pleasure, in this survey are reflective of this current state of burnout and exhaustion rather than related to the activity of data analysis which I generally enjoy. The positive feelings are thanks to having a supportive team around me and taking time to recover. "
436,"Report writing","Guilt. Because I was leading a project for which sometimes I don't feel prepared enough"
437,"",""
438,"Report writing","My random thoughts about the project, my achivements, positive or negative Parts of my progress."
439,"Preparations (IRB permit, preregistration, experiment preparations)",""
440,"Data analysis",""
441,"Revisions",""
442,"",""
443,"",""
444,"Revisions","disappointments - Due to lack of interest to complete the work by other team members "
445,"",""
446,"Preparations (IRB permit, preregistration, experiment preparations)",""
447,"Preparations (IRB permit, preregistration, experiment preparations)","The negative emotions were due to ethics approval process. The positive was excitement for the project. "
448,"Waiting for journal's response and revisions",""
449,"Data collection",""
450,"Revisions",""
451,"",""
452,"Report writing",""
453,"Data analysis",""
454,"Data collection",""
455,"Report writing","I am fascinated by the topics I study"
456,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
457,"Reality check (e.g., literature search, consultation with colleagues)",""
458,"Preparations (IRB permit, preregistration, experiment preparations)",""
459,"",""
460,"Data collection","Disappointment: Experiment failure
Interest: Doing cool experiments"
461,"Preparations (IRB permit, preregistration, experiment preparations)",""
462,"Data analysis",""
463,"",""
464,"Data analysis","Positive trial outcomes"
465,"",""
466,"Preparations (IRB permit, preregistration, experiment preparations)","Anger - after spending weeks on preparing, the experiment was postponed. I felt like it could have started already, but my supervisor decided to postpone it. 
Interest - the experiment is very interesting and I cannot wait to collect the data."
467,"Preparations (IRB permit, preregistration, experiment preparations)","Relief 'cause I managed to finish"
468,"Revisions","I wrote a good paper, and the reviewers requested unnecessary, insignificant, and time-consuming changes. And you do not even know if they will like what you send them. Lottery."
469,"Project genesis/ first thoughts/ idea creation","Lack of confidence"
470,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
471,"Data collection","Joy: because of the of the people involved,, both academic and Practice partners, I learn a lot and laugh a lot as we collaboratively muddle through"
472,"Preparations (IRB permit, preregistration, experiment preparations)",""
473,"",""
474,"",""
475,"Report writing",""
476,"",""
477,"Waiting for journal's response and revisions",""
478,"Data collection",""
479,"Waiting for journal's response and revisions",""
480,"Data collection",""
481,"Waiting for journal's response and revisions",""
482,"Project genesis/ first thoughts/ idea creation","Fear and disappointment high because of constant changes required to fellowship application and the likelihood of rejection and its impact on my career "
483,"Data collection",""
484,"",""
485,"Report writing",""
486,"Reality check (e.g., literature search, consultation with colleagues)",""
487,"Project genesis/ first thoughts/ idea creation",""
488,"",""
489,"",""
490,"Report writing",""
491,"",""
492,"",""
493,"Preparations (IRB permit, preregistration, experiment preparations)",""
494,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
495,"Data analysis",""
496,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Glad to be finished"
497,"Project genesis/ first thoughts/ idea creation","Enquiry is highly satisfying"
498,"Data analysis",""
499,"Data collection",""
500,"Report writing","I feel relief and pride because I feel relief that I finished the project/work and I feel pride that I will publish it."
501,"Project genesis/ first thoughts/ idea creation","Finally finding a topic for my new research plan."
502,"Waiting for journal's response and revisions",""
503,"Waiting for journal's response and revisions",""
504,"Waiting for journal's response and revisions",""
505,"",""
506,"Waiting for journal's response and revisions","a topic along my (professional) lifetime
mentor of a young researcher"
507,"Reality check (e.g., literature search, consultation with colleagues)","Hard to generate new ideas, few of no getting funded, disappointing colleagues "
508,"Preparations (IRB permit, preregistration, experiment preparations)",""
509,"Preparations (IRB permit, preregistration, experiment preparations)",""
510,"Preparations (IRB permit, preregistration, experiment preparations)","fear of making mistakes or of failure of the experimental manipulation/of nullresults and fear of rejection of the paper"
511,"",""
512,"Data collection",""
513,"",""
514,"Data collection",""
515,"",""
516,"Report writing",""
517,"Data analysis",""
518,"",""
519,"Revisions",""
520,"Report writing","interest is the drive of my continued research activities "
521,"Data collection",""
522,"Waiting for journal's response and revisions",""
523,"",""
524,"",""
525,"",""
526,"Data analysis","I am proud of the working I am doing as the PI and a junior/early faculty member"
527,"",""
528,"",""
529,"",""
530,"Report writing",""
531,"Waiting for journal's response and revisions",""
532,"",""
533,"",""
534,"",""
535,"Revisions",""
536,"Report writing","interest- career progression"
537,"Data collection",""
538,"",""
539,"Reality check (e.g., literature search, consultation with colleagues)",""
540,"Project genesis/ first thoughts/ idea creation",""
541,"",""
542,"Project genesis/ first thoughts/ idea creation",""
543,"Project genesis/ first thoughts/ idea creation",""
544,"Preparations (IRB permit, preregistration, experiment preparations)",""
545,"Preparations (IRB permit, preregistration, experiment preparations)",""
546,"Preparations (IRB permit, preregistration, experiment preparations)",""
547,"Report writing","tendency to procrastinate, problems with completing of the writing tasks."
548,"",""
549,"Waiting for journal's response and revisions","Impatience - I'd like to finally know the reviews"
550,"",""
551,"Project genesis/ first thoughts/ idea creation",""
552,"",""
553,"Project genesis/ first thoughts/ idea creation",""
554,"Preparations (IRB permit, preregistration, experiment preparations)",""
555,"Reality check (e.g., literature search, consultation with colleagues)",""
556,"Data analysis",""
557,"",""
558,"Report writing",""
559,"",""
560,"",""
561,"Report writing","I am awaiting completion by a colleague on the project who is not being responsive. We should have been able to send this to a journal over a month ago, but she will not participate"
562,"Project genesis/ first thoughts/ idea creation",""
563,"",""
564,"Waiting for journal's response and revisions"," Recently, we published a paper in a prestigious scientific journal, and another paper was rejected by another prestigious journal. This experience caused us to feel discouraged and frustrated. We are currently awaiting the peer-review decision for a manuscript submitted to another journal."
565,"Revisions",""
566,"Data analysis",""
567,"",""
568,"",""
569,"Data analysis",""
570,"Data collection",""
571,"Report writing","I always like being productive and find lots of pleasure in it. I get frustrated when people do not contribute or collaborate at the level they should. "
572,"Data collection",""
573,"",""
574,"Project genesis/ first thoughts/ idea creation",""
575,"Reality check (e.g., literature search, consultation with colleagues)","Stress"
576,"Data analysis","Analyzing my data was very time-consuming and demanding. At times, the workload led to feelings of fatigue, discouragement, sadness, and even disgust, along with a fear of not achieving the results I was hoping for.
When the results finally came and turned out to be very satisfying, everything changed. The fatigue and negative feelings faded away, replaced by renewed energy and motivation. I then wrote my report with enthusiasm, as my passion came back, as if I had fully recharged my batteries and found new meaning in my work."
577,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
578,"",""
579,"Data analysis",""
580,"Project genesis/ first thoughts/ idea creation",""
581,"",""
582,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Because our innovative project was appreciated!"
583,"Waiting for journal's response and revisions",""
584,"Report writing",""
585,"Data analysis","not being sure if what i am doing is the correct way to do it"
586,"Report writing",""
587,"Waiting for journal's response and revisions",""
588,"Report writing",""
589,"",""
590,"",""
591,"Reality check (e.g., literature search, consultation with colleagues)",""
592,"Report writing",""
593,"Preparations (IRB permit, preregistration, experiment preparations)",""
594,"",""
595,"Waiting for journal's response and revisions",""
596,"Data analysis",""
597,"",""
598,"Reality check (e.g., literature search, consultation with colleagues)","The topic is difficult."
599,"Report writing","I am interested in the topic I have been researching/writing about"
600,"Preparations (IRB permit, preregistration, experiment preparations)",""
601,"Waiting for journal's response and revisions","No feeling at all"
602,"",""
603,"Preparations (IRB permit, preregistration, experiment preparations)",""
604,"",""
605,"Data analysis",""
606,"",""
607,"",""
608,"",""
609,"Revisions","When the reviewer thinks that the author is stupid"
610,"Project genesis/ first thoughts/ idea creation","Passion for the work that I do; understanding people's lived experiences gives me joy and humility."
611,"Reality check (e.g., literature search, consultation with colleagues)",""
612,"Project genesis/ first thoughts/ idea creation","Passion for research "
613,"Waiting for journal's response and revisions",NA
614,"Revisions",""
615,"Preparations (IRB permit, preregistration, experiment preparations)","Procrastination. I waited much later than I should have to get started. I was actually going to put it off till this summer and decided to forge ahead and get it done, knowing my time would be severely limited."
616,"Data collection","My highest were interest and compassion - i felt those because I have a strong interest in the topic, which is designed to help others. One of my values is to be kind and help"
617,"Report writing","Interest in the topic, but stress about deadlines and potentially disappointing collaborators."
618,"Project genesis/ first thoughts/ idea creation","interest - I really like what I do and its great to be able to realise your research questions, that often comes at a personal loss with time away from family working long hours hence the guilt"
619,"Data analysis","interest for the very promising findings"
620,"Data analysis",""
621,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","The accomplishment of the PhD performing the study."
622,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
623,"Data collection",""
624,"Preparations (IRB permit, preregistration, experiment preparations)","frustration with the legal complications to starting a new clinical project"
625,"Preparations (IRB permit, preregistration, experiment preparations)","I am launching new projects and I am afraid I will fail and my team will suffer. I'm the PI."
626,"Project genesis/ first thoughts/ idea creation","Availability of resources "
627,"Project genesis/ first thoughts/ idea creation","Reviewers like to see significance (p-value = <.05). If results are not significant, the project is perceived to be not important enough for publishing."
628,"Revisions","There was an authorship dispute between the first two authors, which I felt was unreasonable, and it was very much a relief to finally resolve the issue and get the paper resubmitted."
629,"Project genesis/ first thoughts/ idea creation","Passion, excitement, desire to solve the problem"
630,"Data collection","Proud of my achievements so far and about the work I have put in. Disappointment in some of the results or certain people consistently not adhering to protocol despite repeated conversations and attempts to resolve the issue amicably. Anger towards supervisor who do not value my work and commitment enough to invest in me properly as part of the team long-term."
631,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Months of work criticised by reviewer 2"
632,"Data analysis","Pleasure, development of new analytical pipeline"
633,"Data analysis","My inability to finish the project so far"
634,"Data analysis","The positive emotions were related to my high interest on the topic and the fact that the work I was doing was of much importance in achieving the goals of the study and finding out new interesting stuff."
635,"Waiting for journal's response and revisions",""
636,"Project genesis/ first thoughts/ idea creation","my passion for my topic"
637,"Data collection","I fear that I won't be to collect enough participants by March 2026 to complete by data collection stage. Recruitment is quite slow. "
638,"Waiting for journal's response and revisions","I'm bored with research"
639,"Data collection",""
640,"Reality check (e.g., literature search, consultation with colleagues)","The prospect of getting interesting work out of the funded project"
641,"Data analysis","I am proud of my work and have a genuine interest in the output"
642,"Project genesis/ first thoughts/ idea creation","Discovery. Finding meanings, making sense. "
643,"Preparations (IRB permit, preregistration, experiment preparations)","Pride and interest were my highest. I work with residents and fellows, so I am consulted on their projects. I have great pride and am inspired by residents and fellows."
644,"Data analysis","Disappointment at how long the data analysis is taking because of newly-uncovered problems with the data. This has caused us to change our study's exclusion criteria."
645,"Revisions","I only feel tense and compressed when I need the article for an academic promotion. On the other hand, I feel joyful if I publish to raise my H-index"
646,"Waiting for journal's response and revisions","The work I last revised has been under review for 1.5 years. I thought it would be accepted since the second revision was a minor one, but a third minor revision was requested. Moreover, the reviewer accused us of not performing an analysis they had not previously requested."
647,"Report writing",""
648,"Data analysis","The data indicates that the hypothesis is correct and no animals or humans were harmed during these experiments."
649,"Report writing","For positive affect, the ability to guide students and staff to produce papers is immensely satisfying. They take what they glean from the literature, synthesis where the literature is at, and then produce work products that I can help foster.

For negative affect, some of my students procrastinate until the last minute and put unrealistic demands on my time. They do this with a strange thoughtlessness, which I attribute to multiple COVID infections and atrophy in prefrontal regions that would normally facilitate better planning. "
650,"Report writing","Anger -- parsing inconsistent results in the field and realizing that data must be misrepresented or miscollected somewhere."
651,"Preparations (IRB permit, preregistration, experiment preparations)","Fear and disappointment; the process of collecting all the necessary permissions sometimes gets absurd and ridiculous"
652,"Data collection","Fear from not finishing the project on time but enjoy my project as selected it carefully "
653,"Project genesis/ first thoughts/ idea creation","Creativity during grant application writing"
654,"Project genesis/ first thoughts/ idea creation","Gratification from undertaking such initiatives"
655,"Report writing","I am deeply concerned about children's mental health and my project present a genuinely new observation. This is deeply satisfying. "
656,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","My professional career and academic position have not progressed as I had expected over the past 10 to 15 years, and as a result, I am gradually losing the sense of pleasure in being a researcher."
657,"Data collection",""
658,"Preparations (IRB permit, preregistration, experiment preparations)","Rules and requirements that are complicated and in some cases impossible to reach. Lack of time. Feeling like the possible benefits drown in red tape. "
659,"Report writing","Relieved to get a delayed, enjoyable project moving quickly toward the finish line now."
660,"Data analysis","Interest in emerging results from a study that has been underway for several years, but also guilt because I doubt my advanced statistical skills and have to lean on my team members for some of that heavy lift. "
661,"Preparations (IRB permit, preregistration, experiment preparations)","Struggling with the ethics application and fulfilling all of their requirements."
662,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)","Just happy the project was accepted"
663,"Data collection","pride: This is a project that is based on an original and bold hypothesis that I had made, and the available results confirm this hypothesis and show that it was correct."
664,"Data collection",""
665,"Waiting for journal's response and revisions","Finishing my part of work and being positive that it will be published soon in an international journal so I’m feeling worried and fear but mostly I’m keeping the positive attitude and hoping everything go well "
666,"Report writing","Sponsor (commercial entity)"
667,"Data collection","Institutional bottlenecks and work overload"
668,"Reality check (e.g., literature search, consultation with colleagues)","curiosity and excitement to work in a new project"
669,"Data analysis","I like my job :)"
670,"Data analysis","Intrest. Science."
671,"Project genesis/ first thoughts/ idea creation","This is a great idea for a research project with high policy relevance but it was rejected for funding once and I am trying to resubmit after having done a lot of the work without any funding. The funding process is so flawed and getting worse. I am also very angry and full of resentment because there are funds internally to get the work done but some colleagues are more entitled to that money than others. "
672,"Revisions",""
673,"Project genesis/ first thoughts/ idea creation","Researching a completely new topic with potentially clinically-impacful findings"
674,"Waiting for journal's response and revisions","Love doing the research"
675,"Preparations (IRB permit, preregistration, experiment preparations)","Mental fatigue "
676,"Preparations (IRB permit, preregistration, experiment preparations)","So much frustration with paperwork, month-long holdups over a few minor errors in informed consent"
677,"Preparations (IRB permit, preregistration, experiment preparations)",""
678,"Project genesis/ first thoughts/ idea creation",""
679,"Report writing",""
680,"Data analysis","I very much enjoy what I do. It is very satisfying and I feel I am helping students."
681,"Data analysis","Recent good experimental results."
682,"Data collection","I am proud of the quality of data we are generating on a project that is unique and impactful."
683,"Waiting for journal's response and revisions","contentment - fulfillment of a long conceptual exploration and empirical verification  "
